Feature,Count,Mean,Std,Min,Max,NaN_Pct
volume_ratio_30s,946975,1.0094737049142286,1.221020104760985,0.0005165556072111163,28.05636257989541,0.0030622890716406692
volume_slope_30s,946971,1.7870925345832451e-06,3.054737678678201,-256.16155728587347,241.61953281423806,0.003484673771177313
volume_slope_5s,947000,-6.441393878206362e-06,27.878831043988974,-5290.100000000002,3663.8999999999996,0.000422384699536644
volume_exhaustion,946975,9.658650586369834,160.5911791290932,-4862.146375650783,34053.914756335515,0.0030622890716406692
vwap,947004,6717.474503544304,42.48263632766503,4950.026315789473,6805.346095806845,0.0
distance_from_vwap_pct,947004,-0.25723210800819274,5.84308217127596,-99.36072365680847,3.84485502916794,0.0
vwap_slope,946975,6.351659764419252e-05,0.048202279654289915,-10.985276973678376,11.282926846717462,0.0030622890716406692
distance_from_rth_high,947004,-134.8743832655406,394.26765889656883,-6962.2,0.0,0.0
distance_from_rth_low,947004,6600.679257268185,668.3451052216535,0.0,6962.3,0.0
short_range_high,946885,6749.168468715842,55.04851200814526,6552.75,7020.0,0.012565944811215158
short_range_low,946885,5348.57016290257,2697.3673002382566,42.55,6811.0,0.012565944811215158
short_range_size,946885,1400.598305813272,2699.497998118759,0.5,6862.0,0.012565944811215158
position_in_short_range,946885,0.46812890348755,0.40463463463192456,0.0,1.0,0.012565944811215158
medium_range_high,946705,6765.043359863949,55.62006546230862,6581.5,7020.0,0.031573256290364136
medium_range_low,946705,4206.085577503024,3232.0502527528397,42.55,6810.25,0.031573256290364136
medium_range_size,946705,2558.957782360926,3234.4643826507636,1.25,6862.0,0.031573256290364136
range_compression_ratio,946705,0.58811685799303,0.4258261344371011,0.00011064068331686016,1.0,0.031573256290364136
short_range_retouches,947004,0.642970885022661,0.4791237506552565,0.0,1.0,0.0
medium_range_retouches,947004,0.7930219935713049,0.4051398333998376,0.0,1.0,0.0
return_30s,946974,0.38848966881061847,6.755782604320737,-0.9936180584198883,155.73325499412456,0.0031678852465248297
return_60s,946944,0.39378778194645675,6.801775907420165,-0.9936185369877395,155.74500587544068,0.006335770493049659
return_300s,946704,0.39697996121157125,6.829713257614561,-0.993618776244751,155.79200940070507,0.0316788524652483
momentum_acceleration,946944,-0.005285806628874332,9.46729654854744,-155.7449309016815,155.7329925170913,0.006335770493049659
momentum_consistency,946974,1.7049815623466347,6.411406673260807,6.527091638171865e-06,59.0229865715228,0.0031678852465248297
atr_30s,946975,45.8437067328423,205.3605342669067,0.016666666666666666,5100.803333333333,0.0030622890716406692
atr_300s,946705,45.85674108178718,103.52887524010306,0.0775,1965.7443333333335,0.031573256290364136
volatility_regime,946705,1.0303184453760454,1.957000354095283,0.00011241891785549673,9.993494166279747,0.031573256290364136
volatility_acceleration,946945,2.508112048498305e-05,0.5126984518697023,-0.9999499278648303,0.9999123754087843,0.006230174318165498
volatility_breakout,946676,0.12460443925862967,1.6082386826182784,-4.010319368761635,17.262758754552234,0.034635545362004805
atr_percentile,946676,49.31229692101627,30.46851273608185,0.33333333333333337,100.0,0.034635545362004805
bar_range,947004,0.1685024561670278,0.2723151152863771,0.0,23.0,0.0
relative_bar_size,946975,0.43909393991813894,0.7531613384193446,0.0,15.0,0.0030622890716406692
uptick_pct_30s,946975,26.505539568978413,9.02580481371886,0.0,76.66666666666667,0.0030622890716406692
uptick_pct_60s,946945,26.505640067092948,7.449583253969049,3.3333333333333335,66.66666666666666,0.006230174318165498
bar_flow_consistency,946945,4.014052206481545,3.1394759692429095,0.0,26.666666666666664,0.006230174318165498
directional_strength,946975,47.1727342326883,17.56566026813596,0.0,100.0,0.0030622890716406692
is_eth,947004,0.45106039678818677,0.497599413885372,0.0,1.0,0.0
is_pre_open,947004,0.04953305371466224,0.21697829388811746,0.0,1.0,0.0
is_rth_open,947004,0.06347280476112033,0.2438115472809722,0.0,1.0,0.0
is_morning,947004,0.14077554054681923,0.34779004508108347,0.0,1.0,0.0
is_lunch,947004,0.14880190579976432,0.35589328790842867,0.0,1.0,0.0
is_afternoon,947004,0.1073321759992566,0.309535266437306,0.0,1.0,0.0
is_rth_close,947004,0.03902412239019054,0.1936524718710893,0.0,1.0,0.0
